         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_matmat}
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:713(_is_extension_array_dtype)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       45    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:363(is_satisfied_by)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:358(_first_element_bool)
      140    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_column_index1}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:1549(_is_fitted)
      150    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:313(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_has_sorted_indices}
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:573(_code)
       75    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:295(is_satisfied_by)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1304(_process_slice)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1053(toarray)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\contextlib.py:299(helper)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\contextlib.py:141(__exit__)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:559(_mul_dispatch)
      190    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_csr.py:117(_swap)
       77    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_matmat_maxnnz}
      166    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\multiarray.py:503(can_cast)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\sklearn\utils\extmath.py:161(safe_sparse_dot)
       20    0.000    0.000    0.002    0.000 D:\Python\Lib\inspect.py:3325(signature)
       10    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       45    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:239(isshape)
       75    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:305(format)
       10    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:667(_get_sliceXslice)
        2    0.000    0.000    0.001    0.000 D:\Python\Lib\re\_compiler.py:740(compile)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_csr.py:206(_get_sliceXarray)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       40    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       65    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\getlimits.py:709(max)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:497(is_satisfied_by)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:511(_compile_info)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1938(__init__)
       11    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_csr.py:21(transpose)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\numeric.py:1855(isscalar)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:674(__matmul__)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:350(build_tokenizer)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:171(_asindices)
